feature,importance,std
koi_dikco_msky_sig,0.0003625749616107621,0.0020059344730108545
depth_radius_ratio,0.00034168003985066695,0.001446973944234342
koi_hmag,0.000331272748442335,0.0007559041093084436
koi_depth_err1,0.00025263363494675283,0.002251180379051173
log_orbital_period,0.00024331524304903595,0.0004152805933270877
koi_fwm_sra,0.0002375093077267243,0.0014128438782853277
koi_srho,0.0001974212337073622,0.0015884442692191017
koi_ror_err2,0.00018569930651833876,0.0013435980462451038
koi_dicco_mra,0.00017605995633895866,0.0014516994672733228
log_koi_insol,0.0001473925020255784,0.00022514576580038169
koi_ldm_coeff1,6.390396356266148e-05,0.0013698330095537465
koi_fwm_sdec,4.87700430610305e-05,0.0030779408053505813
missing_koi_incl,0.0,0.0
missing_koi_bin_oedp_sig,0.0,0.0
missing_koi_teq,0.0,0.0
missing_koi_dor,0.0,0.0
missing_koi_model_snr,0.0,0.0
missing_koi_srho,0.0,0.0
missing_koi_ror,0.0,0.0
missing_koi_depth,0.0,0.0
implausible_radius,0.0,0.0
missing_koi_prad,0.0,0.0
missing_koi_impact,0.0,0.0
missing_koi_duration,0.0,0.0
missing_koi_dikco_msky,0.0,0.0
missing_koi_fwm_stat_sig,0.0,0.0
missing_koi_insol,0.0,0.0
log_koi_max_sngle_ev,-6.642580867399772e-06,1.3285161734799545e-05
is_grazing,-2.657032346959909e-05,1.3285161734799545e-05
koi_dicco_mdec,-5.6183446932978054e-05,0.0019947089386735083
koi_kepmag,-0.00010949951465430985,0.000398374886803739
transit_snr,-0.00015864067917461532,0.0014748897657140877
koi_fwm_sra_err,-0.0001944421926273754,0.0008867278243793296
koi_ldm_coeff2,-0.0002105989231695915,0.0008395370872367936
koi_imag,-0.00023655091599156242,0.0019419257818655124
log_koi_prad,-0.0002412483945376298,0.0005967877584590849
koi_fwm_prao_err,-0.0003276830856197788,0.0007119126782849589
koi_rmag,-0.00033957457481088583,0.0005538954607528518
koi_dicco_msky_sig,-0.0003607975844753919,0.002112155214251508
koi_dikco_mra_err,-0.000363703112372793,0.002009817492396715
koi_fwm_srao_err,-0.0004463348934354738,0.001103539669174335
koi_teq,-0.00047830621858250264,0.0015037374819293302
koi_dicco_mdec_err,-0.0005111717323311837,0.0014294056920053227
koi_dicco_msky_err,-0.000605263057023453,0.0016084478032553748
koi_time0_err2,-0.0006053520879542584,0.0005871645273080346
log_koi_depth,-0.000605808767912297,0.000303183835609025
planet_star_ratio,-0.0006412095258637063,0.0007972727453468187
koi_time0_err1,-0.0006739742310093777,0.00022465807700312594
koi_fwm_pdeco,-0.0006871744310874672,0.0014188206216101602
dec,-0.0007573026090061385,0.001983796290417349
koi_impact_err2,-0.0009038646149125418,0.001926334456110297
koi_smass,-0.0009432413625040992,0.0013263309171361243
koi_time0bk_err1,-0.0010169312720152979,0.0013207169328900265
koi_period_err2,-0.0010700466536920582,0.001177168977813019
koi_srho_err2,-0.0011139977642207533,0.0013598099763552835
koi_dikco_mdec_err,-0.0012083202161535579,0.0017780813251260408
koi_kmag,-0.001222748967827403,0.0009819557391271677
koi_fwm_sdeco_err,-0.0012843199000905803,0.0016497976373878818
koi_srad,-0.0013440138591354288,0.0008720291643438585
koi_sma,-0.0014303863689618002,0.001441627724708829
koi_time0bk,-0.0015320216972511736,0.0018762658239226539
koi_impact_err1,-0.0015721227743780819,0.002579751034085925
koi_gmag,-0.0016813894942570018,0.001477579155896843
koi_dikco_mra,-0.001718659579356563,0.0009017508903347122
koi_insol,-0.0017731218615290255,0.0007839797559429827
koi_slogg,-0.001838952634211688,0.0013639306170675353
koi_zmag,-0.002264163923272322,0.0010880593393066994
koi_ror,-0.002578641639894674,0.0017292620984969056
koi_time0bk_err2,-0.003153866840475461,0.0020392639476058193
koi_period_err1,-0.00415855387573365,0.001776161582282505
koi_duration_err2,-0.004357586158486271,0.0017688449965937024
koi_duration_err1,-0.004735051183101646,0.0020909205951811405
